id,title_link,position
139031,https://www.ncss.cn/student/jobs/004E2564E9D60200E0630A010016770D/detail.html,ChatGPT项目
139117,https://www.ncss.cn/student/jobs/00BA45C9E55F011CE0630A010016816C/detail.html,养户管理员
139199,https://www.ncss.cn/student/jobs/0147ED4176A00152E0630A0100153FCD/detail.html,运维实施实习生
139202,https://www.ncss.cn/student/jobs/014C1E23981D001EE0630A010016B63D/detail.html,调试工艺工程师(J13015)
139375,https://www.ncss.cn/student/jobs/0211EE3ECF3F01AEE0630A0100167AAF/detail.html,密码应用工程师（SA-BJ）(J10589)
140338,https://www.ncss.cn/student/jobs/0265BFEB6F44012EE0630A010015680F/detail.html,运维工程师
140621,https://www.ncss.cn/student/jobs/029586C9F1700012E0630A0100159435/detail.html,HRIntern（RecruitmentTeam）
140629,https://www.ncss.cn/student/jobs/029586C9F2E20012E0630A0100159435/detail.html,地质技术员
140630,https://www.ncss.cn/student/jobs/029586C9F2EC0012E0630A0100159435/detail.html,信息化技术员
140647,https://www.ncss.cn/student/jobs/029586C9F3DE0012E0630A0100159435/detail.html,地质技术员
141555,https://www.ncss.cn/student/jobs/036DC79520980054E0630A010015F901/detail.html,伊利2024年校招-销售专训生（西部成人营销总部）
141723,https://www.ncss.cn/student/jobs/0392A8F58BD50036E0630A010016D3CF/detail.html,北京业务中心--销售工程师
142169,https://www.ncss.cn/student/jobs/03CFD90FF4A40054E0630A0100166851/detail.html,用友商务助理
142494,https://www.ncss.cn/student/jobs/040C3295B3D30210E0630A0100169DF8/detail.html,伊利2024年校招-销售培训生（液态奶）
142762,https://www.ncss.cn/student/jobs/041C1F8AC85B0154E0630A010015E114/detail.html,秋招安全服务工程师-杭州 (MJ005914)
142871,https://www.ncss.cn/student/jobs/042988C520670062E0630A010016AFF3/detail.html,电气设计师（成都）
142878,https://www.ncss.cn/student/jobs/042988C5208D0062E0630A010016AFF3/detail.html,电气设计师（郑州）
142879,https://www.ncss.cn/student/jobs/042988C520B60062E0630A010016AFF3/detail.html,工艺工程师—电子工程方向（成都）
142880,https://www.ncss.cn/student/jobs/042988C520BC0062E0630A010016AFF3/detail.html,给排水设计师（成都）
142882,https://www.ncss.cn/student/jobs/042988C520C50062E0630A010016AFF3/detail.html,景观设计师（郑州）
142883,https://www.ncss.cn/student/jobs/042988C521080062E0630A010016AFF3/detail.html,工艺工程师—机械方向（郑州）
144646,https://www.ncss.cn/student/jobs/032257AD53010068E0630A0100168F8F/detail.html,Unity客户端开发-2024校招
162988,https://www.ncss.cn/student/jobs/0EEBD3DFB3F80016E0630A010015AC2E/detail.html,招聘顾问
162991,https://www.ncss.cn/student/jobs/0EEBD3DFB3FA0016E0630A010015AC2E/detail.html,行政专员/助理
162994,https://www.ncss.cn/student/jobs/0EEBD3DFB3FB0016E0630A010015AC2E/detail.html,AI技术生态部_渠道运营实习生
162997,https://www.ncss.cn/student/jobs/0EEBD3DFB3FC0016E0630A010015AC2E/detail.html,总经理助理
162998,https://www.ncss.cn/student/jobs/0EEBD3DFB3F90016E0630A010015AC2E/detail.html,大客户销售
163000,https://www.ncss.cn/student/jobs/0EEBD3DFB3FD0016E0630A010015AC2E/detail.html,HRBP实习生
163002,https://www.ncss.cn/student/jobs/0EEBD3DFB3FE0016E0630A010015AC2E/detail.html,新媒体运营
163004,https://www.ncss.cn/student/jobs/0EEBD3DFB4000016E0630A010015AC2E/detail.html,直播运营实习生
163005,https://www.ncss.cn/student/jobs/0EEBD3DFB4010016E0630A010015AC2E/detail.html,收购兼并实习生
163006,https://www.ncss.cn/student/jobs/0EEBD3DFB3FF0016E0630A010015AC2E/detail.html,短视频文案运营
163007,https://www.ncss.cn/student/jobs/0EEBD3DFB4020016E0630A010015AC2E/detail.html,行政专员/助理
163008,https://www.ncss.cn/student/jobs/0EEBD3DFB4080016E0630A010015AC2E/detail.html,美工
163009,https://www.ncss.cn/student/jobs/0EEBD3DFB4090016E0630A010015AC2E/detail.html,新媒体运营
163010,https://www.ncss.cn/student/jobs/0EEBD3DFB4030016E0630A010015AC2E/detail.html,人事前台文员客服
163011,https://www.ncss.cn/student/jobs/0EEBD3DFB40A0016E0630A010015AC2E/detail.html,技术管理实习生
163012,https://www.ncss.cn/student/jobs/0EEBD3DFB40B0016E0630A010015AC2E/detail.html,管培生
163013,https://www.ncss.cn/student/jobs/0EEBD3DFB4140016E0630A010015AC2E/detail.html,小程序设计
163014,https://www.ncss.cn/student/jobs/0EEBD3DFB4040016E0630A010015AC2E/detail.html,人事
163015,https://www.ncss.cn/student/jobs/0EEBD3DFB40D0016E0630A010015AC2E/detail.html,高端家政管家
163016,https://www.ncss.cn/student/jobs/0EEBD3DFB4130016E0630A010015AC2E/detail.html,营销储干
163017,https://www.ncss.cn/student/jobs/0EEBD3DFB4120016E0630A010015AC2E/detail.html,营销储干
163018,https://www.ncss.cn/student/jobs/0EEBD3DFB4060016E0630A010015AC2E/detail.html,直播运营实习生
163019,https://www.ncss.cn/student/jobs/0EEBD3DFB40C0016E0630A010015AC2E/detail.html,主播
163020,https://www.ncss.cn/student/jobs/0EEBD3DFB4050016E0630A010015AC2E/detail.html,人事行政
163021,https://www.ncss.cn/student/jobs/0EEBD3DFB40F0016E0630A010015AC2E/detail.html,数据分析师（实习）
163022,https://www.ncss.cn/student/jobs/0EEBD3DFB40E0016E0630A010015AC2E/detail.html,西班牙语翻译
163023,https://www.ncss.cn/student/jobs/0EEBD3DFB4070016E0630A010015AC2E/detail.html,AI技术生态部_渠道运营实习生
163024,https://www.ncss.cn/student/jobs/0EEBD3DFB4110016E0630A010015AC2E/detail.html,活动执行
163025,https://www.ncss.cn/student/jobs/0EEBD3DFB4150016E0630A010015AC2E/detail.html,富士康测试实习生
163026,https://www.ncss.cn/student/jobs/0EEBD3DFB4170016E0630A010015AC2E/detail.html,小程序设计
163027,https://www.ncss.cn/student/jobs/0EEBD3DFB4160016E0630A010015AC2E/detail.html,博物馆运营实习生
163028,https://www.ncss.cn/student/jobs/0EEBD3DFB4100016E0630A010015AC2E/detail.html,营销储干
163029,https://www.ncss.cn/student/jobs/0EEBD3DFB41D0016E0630A010015AC2E/detail.html,泰语翻译
163030,https://www.ncss.cn/student/jobs/0EEBD3DFB4480016E0630A010015AC2E/detail.html,俄语销售
163031,https://www.ncss.cn/student/jobs/0EEBD3DFB4450016E0630A010015AC2E/detail.html,南方海洋科学与工程广东省实验室（湛江）2024年科研人员校园招聘公告
163032,https://www.ncss.cn/student/jobs/0EEBD3DFB4180016E0630A010015AC2E/detail.html,人事行政
163033,https://www.ncss.cn/student/jobs/0EEBD3DFB4460016E0630A010015AC2E/detail.html,餐饮实习生
163034,https://www.ncss.cn/student/jobs/0EEBD3DFB44C0016E0630A010015AC2E/detail.html,纤维成分检验人员
163035,https://www.ncss.cn/student/jobs/0EEBD3DFB4490016E0630A010015AC2E/detail.html,俄语销售
163036,https://www.ncss.cn/student/jobs/0EEBD3DFB4190016E0630A010015AC2E/detail.html,测试开发实习生-商业产品与技术
163037,https://www.ncss.cn/student/jobs/0EEBD3DFB4470016E0630A010015AC2E/detail.html,南方海洋科学与工程广东省实验室（湛江）2024年科研人员校园招聘公告
163038,https://www.ncss.cn/student/jobs/0EEBD3DFB44D0016E0630A010015AC2E/detail.html,助理工程师
163039,https://www.ncss.cn/student/jobs/0EEBD3DFB41B0016E0630A010015AC2E/detail.html,高中国际部升学规划老师
163040,https://www.ncss.cn/student/jobs/0EEBD3DFB44B0016E0630A010015AC2E/detail.html,纤维成分检验人员
163041,https://www.ncss.cn/student/jobs/0EEBD3DFB44E0016E0630A010015AC2E/detail.html,人事行政助理
163042,https://www.ncss.cn/student/jobs/0EEBD3DFB41A0016E0630A010015AC2E/detail.html,项目实习生
163043,https://www.ncss.cn/student/jobs/0EEBD3DFB44A0016E0630A010015AC2E/detail.html,助理工程师
163044,https://www.ncss.cn/student/jobs/0EEBD3DFB44F0016E0630A010015AC2E/detail.html,TIKTOK主播
163045,https://www.ncss.cn/student/jobs/0EEBD3DFB4520016E0630A010015AC2E/detail.html,烘焙学徒
163046,https://www.ncss.cn/student/jobs/0EEBD3DFB41C0016E0630A010015AC2E/detail.html,高中国际部招生管培实习生
163047,https://www.ncss.cn/student/jobs/0EEBD3DFB4530016E0630A010015AC2E/detail.html,门店营业员
163048,https://www.ncss.cn/student/jobs/0EEBD3DFB4500016E0630A010015AC2E/detail.html,家庭教师
163049,https://www.ncss.cn/student/jobs/0EEBD3DFB4540016E0630A010015AC2E/detail.html,电气仪表专员
163050,https://www.ncss.cn/student/jobs/0EEE579A73A0019CE0630A010016F668/detail.html,南方海洋科学与工程广东省实验室（湛江）2024年科研人员校园招聘公告
